Date,VIX,SPX
5/13/1993,14.76,439.23
5/14/1993,14.39,439.56
5/17/1993,14.13,440.37
5/18/1993,14.19,440.32
5/19/1993,14.29,447.57
5/20/1993,13.98,450.59
5/21/1993,14.51,445.84
5/24/1993,14.1,448
5/25/1993,14.04,448.85
5/26/1993,12.88,453.44
5/27/1993,13.1,452.41
5/28/1993,13.47,450.19
6/1/1993,13.67,453.83
6/2/1993,13.48,453.85
6/3/1993,13.54,452.5
6/4/1993,12.86,450.06
6/7/1993,14.07,447.69
6/8/1993,14.74,444.71
6/9/1993,13.96,445.78
6/10/1993,13.31,445.38
6/11/1993,12.71,447.26
6/14/1993,12.33,447.71
6/15/1993,11.99,446.27
6/16/1993,11.87,447.43
6/17/1993,11.66,448.54
6/18/1993,12.24,443.68
6/21/1993,12.25,446.22
6/22/1993,11.65,445.93
6/23/1993,12.04,443.19
6/24/1993,12.25,446.62
6/25/1993,11.25,447.6
6/28/1993,11.11,451.85
6/29/1993,11.29,450.68
6/30/1993,11.26,450.53
7/1/1993,11.51,449.02
7/2/1993,11.33,445.84
7/6/1993,13.87,441.43
7/7/1993,13.05,442.83
7/8/1993,12.24,448.64
7/9/1993,10.8,448.11
7/12/1993,10.85,448.98
7/13/1993,11.02,448.09
7/14/1993,10.78,450.08
7/15/1993,10.6,449.22
7/16/1993,10.96,445.75
7/19/1993,11.46,446.03
7/20/1993,11.05,447.31
7/21/1993,11.97,447.18
7/22/1993,11.69,444.51
7/23/1993,11.32,447.1
7/26/1993,11.32,449.09
7/27/1993,11.34,448.24
7/28/1993,11.37,447.19
7/29/1993,11.25,450.24
7/30/1993,11.73,448.13
8/2/1993,11.47,450.15
8/3/1993,11.49,449.27
8/4/1993,11.71,448.54
8/5/1993,12.03,448.13
8/6/1993,12.33,448.68
8/9/1993,12.39,450.72
8/10/1993,12.31,449.45
8/11/1993,12.07,450.46
8/12/1993,12.38,448.96
8/13/1993,12.19,450.14
8/16/1993,11.69,452.38
8/17/1993,11.59,453.13
8/18/1993,11.52,456.04
8/19/1993,11.63,456.43
8/20/1993,11.62,456.16
8/23/1993,12.15,455.23
8/24/1993,11.8,459.77
8/25/1993,12.1,460.13
8/26/1993,12.14,461.04
8/27/1993,11.91,460.54
8/30/1993,11.74,461.9
8/31/1993,11.85,463.56
9/1/1993,11.48,463.15
9/2/1993,11.87,461.3
9/3/1993,11.16,461.34
9/7/1993,12.9,458.52
9/8/1993,13.24,456.65
9/9/1993,12.67,457.5
